name,x,y
Agorism,2.27885,-8.59722
Anarchism,0.262346,-8.42901
Anarchism and Religion,-2.18364,-6.24228
Anarchist Communism,-8.81439,-8.22348
Anarcho-Capitalism,8.41733,-8.51667
Anarcho-Primitivism,-1.39028,-9.81528
Anarcho-Syndicalism,-6.13258,-8.84722
Authoritarian Capitalism,8.08025,7.68056
Ba’athism,-2.53283,7.54167
Capitalism,7.07562,-0.333333
Christian Democracy,-1.12963,1.8858
Classical Liberalism,5.76389,-2.36581
Collectivist Anarchism,-5.37879,-8.29419
Conservatism,5.23438,3.09201
Constitutional Monarchy,4.64506,4.45988
Council Communism,-9.20988,-4.19907
Crypto-Anarchy,3.75,-8.75
Democratic Socialism,-5.84785,-0.926768
Distributism,-2.93171,1.4919
Egoist Anarchism,1.62247,-9.98864
Environmentalism,-5.83333,-2.70833
Fascism,3.7328,8.71429
Feudalism,7.64969,4.73302
Fidelismo,-6.35694,4.63333
Geolibertarianism,1.09105,-6.37963
Georgism,0.356481,-5.02199
Hoppeans,7.3125,-8.24306
Individualist Anarchism,2.98485,-8.86742
Juche,-3.3287,9.08218
Left-Libertarianism,-0.573529,-4.69608
Left-Wing Nationalism,-3.90586,5.06019
Left-Wing Populism,-5.83333,2.35648
Leninism,-8.37073,3.63355
Liberalism,2.4158,-0.432292
Liberal Socialism,-3.5571,-4.06019
Libertarian Conservatism,7.40895,-0.871914
Libertarianism,4.09314,-4.9281
Libertarian Socialism,-6.46142,-6.11111
Luxemburgism,-8.57361,-2.37778
Maoism,-6.26389,8.27885
Market Socialism,-3.06439,-3.46591
Marxism-Leninism,-8.32083,6.84583
Mutualism,-1.15355,-8.58179
National Bolshevism,-5.70486,9.04051
National Communism,-7.575,7.225
Nazism,0.528549,8.625
Neoconservatism,6.45648,3.98704
Neoliberalism,4.64259,-0.144444
Night-Watchman State,7.2402,-6.80964
Nineteen Eighty-Four,-2,10.4884
Nordic Model,-1.375,-3.08333
Objectivism,7.51852,-6.15741
Paleolibertarianism,7.41528,-4.53611
Progressivism,-1.39141,-1.03283
Social Democracy,-3.26243,-0.961257
Socialism,-6.09936,2.91453
Social Liberalism,-0.00992063,-1.2996
Stalinism,-8.01736,8.83218
State Capitalism,-0.253472,6.03704
Strasserism,-5.21296,8.01852
Syndicalism,-5.77083,-4.21065
Theocracy,3.65,6.60278
Third Way,1.26667,1.12083
Titoism,-4.41358,5.81019
Trotskyism,-8.4469,1.88399
